Organism,Geo_loc_name,n
Nasua narica,Belize,2
Nasua narica,Costa Rica,1
Nasua narica,Guatemala,20
Nasua narica,Mexico,33
Nasua narica,Panama,12
Nasua narica,USA,15
Nasua nasua,Argentina,7
Nasua nasua,Brazil,3
