,Mexico,Guatemala,USA,Panama
Mexico,,0.0005997409525971189,0.0005001303568862455,0.005747572524573558
Guatemala,0.0005997409525971189,,0.0025118213064053113,0.006358237396718045
USA,0.0005001303568862455,0.0025118213064053113,,0.006715035808814128
Panama,0.005747572524573558,0.006358237396718045,0.006715035808814128,
